geography,label
42,"Pennsylvania"
42001,"Adams, PA"
42003,"Allegheny, PA"
42005,"Armstrong, PA"
42007,"Beaver, PA"
42009,"Bedford, PA"
42011,"Berks, PA"
42013,"Blair, PA"
42015,"Bradford, PA"
42017,"Bucks, PA"
42019,"Butler, PA"
42021,"Cambria, PA"
42023,"Cameron, PA"
42025,"Carbon, PA"
42027,"Centre, PA"
42029,"Chester, PA"
42031,"Clarion, PA"
42033,"Clearfield, PA"
42035,"Clinton, PA"
42037,"Columbia, PA"
42039,"Crawford, PA"
42041,"Cumberland, PA"
42043,"Dauphin, PA"
42045,"Delaware, PA"
42047,"Elk, PA"
42049,"Erie, PA"
42051,"Fayette, PA"
42053,"Forest, PA"
42055,"Franklin, PA"
42057,"Fulton, PA"
42059,"Greene, PA"
42061,"Huntingdon, PA"
42063,"Indiana, PA"
42065,"Jefferson, PA"
42067,"Juniata, PA"
42069,"Lackawanna, PA"
42071,"Lancaster, PA"
42073,"Lawrence, PA"
42075,"Lebanon, PA"
42077,"Lehigh, PA"
42079,"Luzerne, PA"
42081,"Lycoming, PA"
42083,"McKean, PA"
42085,"Mercer, PA"
42087,"Mifflin, PA"
42089,"Monroe, PA"
42091,"Montgomery, PA"
42093,"Montour, PA"
42095,"Northampton, PA"
42097,"Northumberland, PA"
42099,"Perry, PA"
420CE175,"175 Central PA WIA"
420LV070,"070 Lehigh Valley WIA"
420NC125,"125 North Central WIA"
420NE055,"055 Lackawanna County WIA"
420NE075,"075 Luzerne-Schuylkill Counties WIA"
420NE135,"135 Pocono Counties WIA"
420NT130,"130 Northern Tier WIA"
420NW145,"145 West Central Job Partnership WIA"
420NW170,"170 Northwest WIA"
420SA100,"100 Southern Alleghenies WIA"
420SC180,"180 South Central WIA"
420SE015,"015 Berks County WIA"
420SE020,"020 Bucks County WIA"
420SE030,"030 Chester County WIA"
420SE035,"035 Delaware County WIA"
420SE060,"060 Lancaster County WIA"
420SE080,"080 Montgomery County WIA"
420SE090,"090 Philadelphia County WIA"
420SW005,"005 Allegheny County WIA"
420SW045,"045 Westmoreland/Fayette WIA"
420SW095,"095 City of Pittsburgh WIA"
420SW110,"110 Tri-County WIA"
420SW165,"165 Southwest Corner WIA"
42101,"Philadelphia, PA"
42103,"Pike, PA"
42105,"Potter, PA"
42107,"Schuylkill, PA"
42109,"Snyder, PA"
4210900,"Allentown-Bethlehem-Easton, PA-NJ (PA part)"
4211020,"Altoona, PA"
42111,"Somerset, PA"
42113,"Sullivan, PA"
42115,"Susquehanna, PA"
42117,"Tioga, PA"
42119,"Union, PA"
42121,"Venango, PA"
42123,"Warren, PA"
42125,"Washington, PA"
42127,"Wayne, PA"
42129,"Westmoreland, PA"
42131,"Wyoming, PA"
42133,"York, PA"
4214100,"Bloomsburg-Berwick, PA"
4214620,"Bradford, PA"
4216540,"Chambersburg, PA"
4220180,"DuBois, PA"
4220700,"East Stroudsburg, PA"
4221500,"Erie, PA"
4223900,"Gettysburg, PA"
4225420,"Harrisburg-Carlisle, PA"
4226500,"Huntingdon, PA"
4226860,"Indiana, PA"
4227780,"Johnstown, PA"
4229540,"Lancaster, PA"
4230140,"Lebanon, PA"
4230260,"Lewisburg, PA"
4230380,"Lewistown, PA"
4230820,"Lock Haven, PA"
4232740,"Meadville, PA"
4235260,"New Castle, PA"
4235620,"New York-Northern New Jersey-Long Island, NY-NJ-PA (PA part)"
4236340,"Oil City, PA"
4237980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (PA part)"
4238300,"Pittsburgh, PA"
4239060,"Pottsville, PA"
4239740,"Reading, PA"
4241260,"St. Marys, PA"
4242380,"Sayre, PA"
4242540,"Scranton--Wilkes-Barre, PA"
4242780,"Selinsgrove, PA"
4243740,"Somerset, PA"
4244300,"State College, PA"
4244980,"Sunbury, PA"
4247620,"Warren, PA"
4248700,"Williamsport, PA"
4249620,"York-Hanover, PA"
4249660,"Youngstown-Warren-Boardman, OH-PA (PA part)"
4299999,"Nonmetropolitan, nonmicropolitan"
