geography,label
17,"Illinois"
17000001,"Lake County WIB"
17000002,"McHenry County WIB"
17000003,"Northern IL Workforce Alliance"
17000004,"NW Central IL Works"
17000005,"River Valley WIB"
17000006,"DuPage County WIB"
17000007,"Chicago-Cook WIB"
17000010,"WIB of Will County"
17000011,"Grundy-Livingston-Kankakee WIB"
17000013,"WDB of Rock Island-Henry-Mercer"
17000014,"WIB of Western IL"
17000015,"Career Link"
17000017,"WIB of East Central IL"
17000018,"Vermilion County WIB"
17000019,"Macon-Dewitt WIB"
17000020,"Land of Lincoln WF Alliance"
17000021,"West Central WF Dev Council"
17000022,"Madison-Bond WIB"
17000023,"Crossroads WIB"
17000024,"Mid America WIB"
17000025,"Southern IL WIB"
17000026,"Southern 14 WIB"
17001,"Adams, IL"
17003,"Alexander, IL"
17005,"Bond, IL"
17007,"Boone, IL"
17009,"Brown, IL"
17011,"Bureau, IL"
17013,"Calhoun, IL"
17015,"Carroll, IL"
17017,"Cass, IL"
17019,"Champaign, IL"
17021,"Christian, IL"
17023,"Clark, IL"
17025,"Clay, IL"
17027,"Clinton, IL"
17029,"Coles, IL"
17031,"Cook, IL"
17033,"Crawford, IL"
17035,"Cumberland, IL"
17037,"DeKalb, IL"
17039,"De Witt, IL"
17041,"Douglas, IL"
17043,"DuPage, IL"
17045,"Edgar, IL"
17047,"Edwards, IL"
17049,"Effingham, IL"
17051,"Fayette, IL"
17053,"Ford, IL"
17055,"Franklin, IL"
17057,"Fulton, IL"
17059,"Gallatin, IL"
17061,"Greene, IL"
17063,"Grundy, IL"
17065,"Hamilton, IL"
17067,"Hancock, IL"
17069,"Hardin, IL"
17071,"Henderson, IL"
17073,"Henry, IL"
17075,"Iroquois, IL"
17077,"Jackson, IL"
17079,"Jasper, IL"
17081,"Jefferson, IL"
17083,"Jersey, IL"
17085,"Jo Daviess, IL"
17087,"Johnson, IL"
17089,"Kane, IL"
17091,"Kankakee, IL"
17093,"Kendall, IL"
17095,"Knox, IL"
17097,"Lake, IL"
17099,"LaSalle, IL"
17101,"Lawrence, IL"
17103,"Lee, IL"
17105,"Livingston, IL"
17107,"Logan, IL"
17109,"McDonough, IL"
17111,"McHenry, IL"
17113,"McLean, IL"
17115,"Macon, IL"
17117,"Macoupin, IL"
17119,"Madison, IL"
17121,"Marion, IL"
17123,"Marshall, IL"
17125,"Mason, IL"
17127,"Massac, IL"
17129,"Menard, IL"
17131,"Mercer, IL"
17133,"Monroe, IL"
17135,"Montgomery, IL"
17137,"Morgan, IL"
17139,"Moultrie, IL"
1714010,"Bloomington, IL"
17141,"Ogle, IL"
17143,"Peoria, IL"
17145,"Perry, IL"
17147,"Piatt, IL"
17149,"Pike, IL"
17151,"Pope, IL"
17153,"Pulaski, IL"
1715460,"Burlington, IA-IL (IL part)"
17155,"Putnam, IL"
17157,"Randolph, IL"
17159,"Richland, IL"
1715900,"Canton, IL"
1716020,"Cape Girardeau, MO-IL (IL part)"
1716060,"Carbondale-Marion, IL"
17161,"Rock Island, IL"
17163,"St. Clair, IL"
1716460,"Centralia, IL"
17165,"Saline, IL"
1716580,"Champaign-Urbana, IL"
1716660,"Charleston-Mattoon, IL"
17167,"Sangamon, IL"
17169,"Schuyler, IL"
1716980,"Chicago-Naperville-Elgin, IL-IN-WI (IL part)"
17171,"Scott, IL"
17173,"Shelby, IL"
17175,"Stark, IL"
17177,"Stephenson, IL"
17179,"Tazewell, IL"
17181,"Union, IL"
17183,"Vermilion, IL"
17185,"Wabash, IL"
17187,"Warren, IL"
17189,"Washington, IL"
17191,"Wayne, IL"
1719180,"Danville, IL"
17193,"White, IL"
1719340,"Davenport-Moline-Rock Island, IA-IL (IL part)"
17195,"Whiteside, IL"
1719500,"Decatur, IL"
17197,"Will, IL"
17199,"Williamson, IL"
1719940,"Dixon, IL"
17201,"Winnebago, IL"
17203,"Woodford, IL"
1720820,"Effingham, IL"
1722800,"Fort Madison-Keokuk, IA-IL-MO (IL part)"
1723300,"Freeport, IL"
1723660,"Galesburg, IL"
1727300,"Jacksonville, IL"
1728100,"Kankakee, IL"
1730660,"Lincoln, IL"
1731380,"Macomb, IL"
1734500,"Mount Vernon, IL"
1736860,"Ottawa-Peru, IL"
1737140,"Paducah, KY-IL (IL part)"
1737900,"Peoria, IL"
1738700,"Pontiac, IL"
1739500,"Quincy, IL-MO (IL part)"
1740300,"Rochelle, IL"
1740420,"Rockford, IL"
1741180,"St. Louis, MO-IL (IL part)"
1744100,"Springfield, IL"
1744580,"Sterling, IL"
1745380,"Taylorville, IL"
1799999,"Nonmetropolitan, nonmicropolitan"
