geography,label
05,"Arkansas"
05000001,"01 Central WIB"
05000002,"02 Eastern WIB"
05000003,"03 Little Rock WIB"
05000004,"04 North Central WIB"
05000005,"05 Northeast WIB"
05000006,"06 Northwest WIB"
05000007,"07 Southeast WIB"
05000008,"08 Southwest WIB"
05000009,"09 West Central WIB"
05000010,"10 Western WIB"
05001,"Arkansas, AR"
05003,"Ashley, AR"
05005,"Baxter, AR"
05007,"Benton, AR"
05009,"Boone, AR"
05011,"Bradley, AR"
05013,"Calhoun, AR"
05015,"Carroll, AR"
05017,"Chicot, AR"
05019,"Clark, AR"
05021,"Clay, AR"
05023,"Cleburne, AR"
05025,"Cleveland, AR"
05027,"Columbia, AR"
05029,"Conway, AR"
05031,"Craighead, AR"
05033,"Crawford, AR"
05035,"Crittenden, AR"
05037,"Cross, AR"
05039,"Dallas, AR"
05041,"Desha, AR"
05043,"Drew, AR"
05045,"Faulkner, AR"
05047,"Franklin, AR"
05049,"Fulton, AR"
05051,"Garland, AR"
05053,"Grant, AR"
05055,"Greene, AR"
05057,"Hempstead, AR"
05059,"Hot Spring, AR"
05061,"Howard, AR"
05063,"Independence, AR"
05065,"Izard, AR"
05067,"Jackson, AR"
05069,"Jefferson, AR"
05071,"Johnson, AR"
05073,"Lafayette, AR"
05075,"Lawrence, AR"
05077,"Lee, AR"
05079,"Lincoln, AR"
05081,"Little River, AR"
05083,"Logan, AR"
05085,"Lonoke, AR"
05087,"Madison, AR"
05089,"Marion, AR"
05091,"Miller, AR"
05093,"Mississippi, AR"
05095,"Monroe, AR"
05097,"Montgomery, AR"
05099,"Nevada, AR"
05101,"Newton, AR"
05103,"Ouachita, AR"
05105,"Perry, AR"
05107,"Phillips, AR"
05109,"Pike, AR"
05111,"Poinsett, AR"
05113,"Polk, AR"
05115,"Pope, AR"
0511660,"Arkadelphia, AR"
05117,"Prairie, AR"
05119,"Pulaski, AR"
05121,"Randolph, AR"
05123,"St. Francis, AR"
05125,"Saline, AR"
05127,"Scott, AR"
05129,"Searcy, AR"
0512900,"Batesville, AR"
05131,"Sebastian, AR"
05133,"Sevier, AR"
05135,"Sharp, AR"
05137,"Stone, AR"
05139,"Union, AR"
05141,"Van Buren, AR"
0514180,"Blytheville, AR"
05143,"Washington, AR"
05145,"White, AR"
05147,"Woodruff, AR"
05149,"Yell, AR"
0515780,"Camden, AR"
0520980,"El Dorado, AR"
0522220,"Fayetteville-Springdale-Rogers, AR-MO (AR part)"
0522620,"Forrest City, AR"
0522900,"Fort Smith, AR-OK (AR part)"
0525460,"Harrison, AR"
0525760,"Helena-West Helena, AR"
0526260,"Hope, AR"
0526300,"Hot Springs, AR"
0527860,"Jonesboro, AR"
0530780,"Little Rock-North Little Rock-Conway, AR"
0531620,"Magnolia, AR"
0532820,"Memphis, TN-MS-AR (AR part)"
0534260,"Mountain Home, AR"
0537500,"Paragould, AR"
0538220,"Pine Bluff, AR"
0540780,"Russellville, AR"
0542620,"Searcy, AR"
0545500,"Texarkana, TX-Texarkana, AR (AR part)"
0599999,"Nonmetropolitan, nonmicropolitan"
