geography,label
48,"Texas"
48000001,"01 Panhandle WDA"
48000002,"02 South Plains WDA"
48000003,"03 North Texas WDA"
48000004,"04 North Central WDA"
48000005,"05 Tarrant County WDA"
48000006,"06 Dallas WDA"
48000007,"07 North East WDA"
48000008,"08 East Texas WDA"
48000009,"09 West Central WDA"
48000010,"10 Upper Rio Grande WDA"
48000011,"11 Permian Basin WDA"
48000012,"12 Concho Valley WDA"
48000013,"13 Heart of Texas WDA"
48000014,"14 Capital Area WDA"
48000015,"15 Rural Capital WDA"
48000016,"16 Brazos Valley WDA"
48000017,"17 Deep East Texas WDA"
48000018,"18 South East Texas WDA"
48000019,"19 Golden Crescent WDA"
48000020,"20 Alamo WDA"
48000021,"21 South Texas WDA"
48000022,"22 Coastal Bend WDA"
48000023,"23 Lower Rio Grande WDA"
48000024,"24 Cameron County WDA"
48000025,"25 Texoma WDA"
48000026,"26 Central Texas WDA"
48000027,"27 Middle Rio Grande WDA"
48000028,"28 Gulf Coast WDA"
48001,"Anderson, TX"
48003,"Andrews, TX"
48005,"Angelina, TX"
48007,"Aransas, TX"
48009,"Archer, TX"
48011,"Armstrong, TX"
48013,"Atascosa, TX"
48015,"Austin, TX"
48017,"Bailey, TX"
48019,"Bandera, TX"
48021,"Bastrop, TX"
48023,"Baylor, TX"
48025,"Bee, TX"
48027,"Bell, TX"
48029,"Bexar, TX"
48031,"Blanco, TX"
48033,"Borden, TX"
48035,"Bosque, TX"
48037,"Bowie, TX"
48039,"Brazoria, TX"
48041,"Brazos, TX"
48043,"Brewster, TX"
48045,"Briscoe, TX"
48047,"Brooks, TX"
48049,"Brown, TX"
48051,"Burleson, TX"
48053,"Burnet, TX"
48055,"Caldwell, TX"
48057,"Calhoun, TX"
48059,"Callahan, TX"
48061,"Cameron, TX"
48063,"Camp, TX"
48065,"Carson, TX"
48067,"Cass, TX"
48069,"Castro, TX"
48071,"Chambers, TX"
48073,"Cherokee, TX"
48075,"Childress, TX"
48077,"Clay, TX"
48079,"Cochran, TX"
48081,"Coke, TX"
48083,"Coleman, TX"
48085,"Collin, TX"
48087,"Collingsworth, TX"
48089,"Colorado, TX"
48091,"Comal, TX"
48093,"Comanche, TX"
48095,"Concho, TX"
48097,"Cooke, TX"
48099,"Coryell, TX"
48101,"Cottle, TX"
4810180,"Abilene, TX"
48103,"Crane, TX"
48105,"Crockett, TX"
48107,"Crosby, TX"
4810860,"Alice, TX"
48109,"Culberson, TX"
48111,"Dallam, TX"
4811100,"Amarillo, TX"
48113,"Dallas, TX"
4811380,"Andrews, TX"
48115,"Dawson, TX"
48117,"Deaf Smith, TX"
48119,"Delta, TX"
4811980,"Athens, TX"
48121,"Denton, TX"
48123,"DeWitt, TX"
4812420,"Austin-Round Rock-San Marcos, TX"
48125,"Dickens, TX"
48127,"Dimmit, TX"
