geography,label
32,"Nevada"
32001,"Churchill, NV"
32003,"Clark, NV"
32005,"Douglas, NV"
32007,"Elko, NV"
32009,"Esmeralda, NV"
32011,"Eureka, NV"
32013,"Humboldt, NV"
32015,"Lander, NV"
32017,"Lincoln, NV"
32019,"Lyon, NV"
32021,"Mineral, NV"
32023,"Nye, NV"
32027,"Pershing, NV"
32029,"Storey, NV"
32031,"Washoe, NV"
32033,"White Pine, NV"
32150001,"01 Southern Nevada WFB"
32150002,"02 NevadaWorks WFB"
3216180,"Carson City, NV"
3221220,"Elko, NV"
3221980,"Fallon, NV"
3222280,"Fernley, NV"
3223820,"Gardnerville Ranchos, NV"
3229820,"Las Vegas-Paradise, NV"
3237220,"Pahrump, NV"
3239900,"Reno-Sparks, NV"
32510,"Carson City, NV"
3299999,"Nonmetropolitan, nonmicropolitan"
