geography,label
35,"New Mexico"
35001,"Bernalillo, NM"
35003,"Catron, NM"
35005,"Chaves, NM"
35006,"Cibola, NM"
35007,"Colfax, NM"
35009,"Curry, NM"
35011,"De Baca, NM"
35013,"Doña Ana, NM"
35015,"Eddy, NM"
35017,"Grant, NM"
35019,"Guadalupe, NM"
35021,"Harding, NM"
35023,"Hidalgo, NM"
35025,"Lea, NM"
35027,"Lincoln, NM"
35028,"Los Alamos, NM"
35029,"Luna, NM"
35031,"McKinley, NM"
35033,"Mora, NM"
35035,"Otero, NM"
35037,"Quay, NM"
35039,"Rio Arriba, NM"
35041,"Roosevelt, NM"
35043,"Sandoval, NM"
35045,"San Juan, NM"
35047,"San Miguel, NM"
35049,"Santa Fe, NM"
35051,"Sierra, NM"
35053,"Socorro, NM"
35055,"Taos, NM"
35057,"Torrance, NM"
35059,"Union, NM"
35061,"Valencia, NM"
3510460,"Alamogordo, NM"
3510740,"Albuquerque, NM"
3516100,"Carlsbad-Artesia, NM"
3517580,"Clovis, NM"
3519700,"Deming, NM"
3521580,"Espanola, NM"
3522140,"Farmington, NM"
3523700,"Gallup, NM"
3524380,"Grants, NM"
3526020,"Hobbs, NM"
3529740,"Las Cruces, NM"
3529780,"Las Vegas, NM"
3531060,"Los Alamos, NM"
35350005,"05 Central Area WIB"
35350010,"10 Southwest Area WIB"
35350015,"15 Northern Area WIB"
35350020,"20 Eastern Area WIB"
3538780,"Portales, NM"
3540740,"Roswell, NM"
3540760,"Ruidoso, NM"
3542140,"Santa Fe, NM"
3543500,"Silver City, NM"
3545340,"Taos, NM"
3599999,"Nonmetropolitan, nonmicropolitan"
