geography,label
09,"Connecticut"
09001,"Fairfield, CT"
09003,"Hartford, CT"
09005,"Litchfield, CT"
09007,"Middlesex, CT"
09009,"New Haven, CT"
09011,"New London, CT"
09013,"Tolland, CT"
09015,"Windham, CT"
09090001,"Eastern WIA"
09090002,"North Central WIA"
09090003,"Northwest WIA"
09090004,"South Central WIA"
09090005,"Southwest WIA"
0914860,"Bridgeport-Stamford-Norwalk, CT"
0925540,"Hartford-West Hartford-East Hartford, CT"
0935300,"New Haven-Milford, CT"
0935980,"Norwich-New London, CT"
0945860,"Torrington, CT"
0949340,"Worcester, MA-CT (CT part)"
0999999,"Nonmetropolitan, nonmicropolitan"
