geography,label
34,"New Jersey"
34001,"Atlantic, NJ"
34003,"Bergen, NJ"
34005,"Burlington, NJ"
34007,"Camden, NJ"
34009,"Cape May, NJ"
34011,"Cumberland, NJ"
34013,"Essex, NJ"
34015,"Gloucester, NJ"
34017,"Hudson, NJ"
34019,"Hunterdon, NJ"
34021,"Mercer, NJ"
34023,"Middlesex, NJ"
34025,"Monmouth, NJ"
34027,"Morris, NJ"
34029,"Ocean, NJ"
34031,"Passaic, NJ"
34033,"Salem, NJ"
34035,"Somerset, NJ"
34037,"Sussex, NJ"
34039,"Union, NJ"
34041,"Warren, NJ"
3410900,"Allentown-Bethlehem-Easton, PA-NJ (NJ part)"
3412100,"Atlantic City-Hammonton, NJ"
34340001,"01 Atlantic-Cape May WIB"
34340002,"02 Bergen WIB"
34340003,"03 Burlington WIB"
34340004,"04 Camden WIB"
34340005,"05 Cumberland-Salem WIB"
34340006,"06 Essex WIB"
34340007,"07 Gloucester WIB"
34340008,"08 Greater Raritan WIB"
34340009,"09 Hudson-Jersey City WIB"
34340010,"10 Mercer WIB"
34340011,"11 Middlesex WIB"
34340012,"12 Monmouth WIB"
34340013,"13 Morris-Sussex-Warren WIB"
34340014,"14 Newark WIB"
34340015,"15 Ocean WIB"
34340016,"16 Passaic WIB"
34340017,"17 Union WIB"
3435620,"New York-Newark-Jersey City, NY-NJ-PA (NJ part)"
3436140,"Ocean City, NJ"
3437980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (NJ part)"
3445940,"Trenton, NJ"
3447220,"Vineland-Bridgeton, NJ"
3499999,"Nonmetropolitan, nonmicropolitan"
