geography,label
53,"Washington"
53000001,"01 Olympic WIB"
53000002,"02 Pacific Mountain WIB"
53000003,"03 Northwest Washington WIB"
53000004,"04 Snohomish County WIB"
53000005,"05 Seattle/King County WIB"
53000006,"06 Tacoma/Pierce County WIB"
53000007,"07 Southwest Washington WIB"
53000008,"08 North Central WIB"
53000009,"09 Central Washington WIB"
53000010,"10 Eastern Washington WIB"
53000011,"11 Benton-Franklin WIB"
53000012,"12 Spokane WIB"
53001,"Adams, WA"
53003,"Asotin, WA"
53005,"Benton, WA"
53007,"Chelan, WA"
53009,"Clallam, WA"
53011,"Clark, WA"
53013,"Columbia, WA"
53015,"Cowlitz, WA"
53017,"Douglas, WA"
53019,"Ferry, WA"
53021,"Franklin, WA"
53023,"Garfield, WA"
53025,"Grant, WA"
53027,"Grays Harbor, WA"
53029,"Island, WA"
53031,"Jefferson, WA"
53033,"King, WA"
53035,"Kitsap, WA"
53037,"Kittitas, WA"
53039,"Klickitat, WA"
53041,"Lewis, WA"
53043,"Lincoln, WA"
53045,"Mason, WA"
53047,"Okanogan, WA"
53049,"Pacific, WA"
53051,"Pend Oreille, WA"
53053,"Pierce, WA"
53055,"San Juan, WA"
53057,"Skagit, WA"
53059,"Skamania, WA"
53061,"Snohomish, WA"
53063,"Spokane, WA"
53065,"Stevens, WA"
53067,"Thurston, WA"
53069,"Wahkiakum, WA"
53071,"Walla Walla, WA"
53073,"Whatcom, WA"
53075,"Whitman, WA"
53077,"Yakima, WA"
5310140,"Aberdeen, WA"
5313380,"Bellingham, WA"
5314740,"Bremerton-Silverdale, WA"
5316500,"Centralia, WA"
5321260,"Ellensburg, WA"
5328420,"Kennewick-Richland, WA"
5330300,"Lewiston, ID-WA (WA part)"
5331020,"Longview, WA"
5334180,"Moses Lake, WA"
5334580,"Mount Vernon-Anacortes, WA"
5336020,"Oak Harbor, WA"
5336500,"Olympia-Tumwater, WA"
5336830,"Othello, WA"
5338820,"Port Angeles, WA"
5338900,"Portland-Vancouver-Hillsboro, OR-WA (WA part)"
5339420,"Pullman, WA"
5342660,"Seattle-Tacoma-Bellevue, WA"
5343220,"Shelton, WA"
5344060,"Spokane-Spokane Valley, WA"
5347460,"Walla Walla, WA"
5348300,"Wenatchee, WA"
5349420,"Yakima, WA"
5399999,"Nonmetropolitan, nonmicropolitan"
