geography,label
12,"Florida"
12000001,"CareerSource Escarosa"
12000002,"CareerSource Okaloosa Walton"
12000003,"CareerSource Chipola"
12000004,"CareerSource Gulf Coast"
12000005,"CareerSource Capital Region"
12000006,"CareerSource North Florida"
12000007,"CareerSource Florida Crown"
12000008,"CareerSource Northeast Florida"
12000009,"CareerSource North Central Florida"
12000010,"CareerSource Citrus Levy Marion"
12000011,"CareerSource Flagler Volusia"
12000012,"CareerSource Central Florida"
12000013,"CareerSource Brevard"
12000014,"CareerSource Pinellas"
12000015,"CareerSource Tampa Bay"
12000016,"CareerSource Pasco Hernando"
12000017,"CareerSource Polk"
12000018,"CareerSource Suncoast"
12000019,"CareerSource Heartland"
12000020,"CareerSource Research Coast"
12000021,"CareerSource Palm Beach County"
12000022,"CareerSource Broward"
12000023,"CareerSource South Florida"
12000024,"CareerSource Southwest Florida"
12001,"Alachua, FL"
12003,"Baker, FL"
12005,"Bay, FL"
12007,"Bradford, FL"
12009,"Brevard, FL"
12011,"Broward, FL"
12013,"Calhoun, FL"
12015,"Charlotte, FL"
12017,"Citrus, FL"
12019,"Clay, FL"
12021,"Collier, FL"
12023,"Columbia, FL"
12027,"DeSoto, FL"
12029,"Dixie, FL"
12031,"Duval, FL"
12033,"Escambia, FL"
12035,"Flagler, FL"
12037,"Franklin, FL"
12039,"Gadsden, FL"
12041,"Gilchrist, FL"
12043,"Glades, FL"
12045,"Gulf, FL"
12047,"Hamilton, FL"
12049,"Hardee, FL"
12051,"Hendry, FL"
12053,"Hernando, FL"
12055,"Highlands, FL"
12057,"Hillsborough, FL"
12059,"Holmes, FL"
12061,"Indian River, FL"
12063,"Jackson, FL"
12065,"Jefferson, FL"
12067,"Lafayette, FL"
12069,"Lake, FL"
12071,"Lee, FL"
12073,"Leon, FL"
12075,"Levy, FL"
12077,"Liberty, FL"
12079,"Madison, FL"
12081,"Manatee, FL"
12083,"Marion, FL"
12085,"Martin, FL"
12086,"Miami-Dade, FL"
12087,"Monroe, FL"
12089,"Nassau, FL"
12091,"Okaloosa, FL"
12093,"Okeechobee, FL"
12095,"Orange, FL"
12097,"Osceola, FL"
12099,"Palm Beach, FL"
12101,"Pasco, FL"
12103,"Pinellas, FL"
12105,"Polk, FL"
12107,"Putnam, FL"
12109,"St. Johns, FL"
12111,"St. Lucie, FL"
12113,"Santa Rosa, FL"
12115,"Sarasota, FL"
1211580,"Arcadia, FL"
12117,"Seminole, FL"
12119,"Sumter, FL"
12121,"Suwannee, FL"
12123,"Taylor, FL"
12125,"Union, FL"
12127,"Volusia, FL"
12129,"Wakulla, FL"
12131,"Walton, FL"
12133,"Washington, FL"
1215980,"Cape Coral-Fort Myers, FL"
1217500,"Clewiston, FL"
1218880,"Crestview-Fort Walton Beach-Destin, FL"
1219660,"Deltona-Daytona Beach-Ormond Beach, FL"
1223540,"Gainesville, FL"
1226140,"Homosassa Springs, FL"
1227260,"Jacksonville, FL"
1228580,"Key West, FL"
1229380,"Lake City, FL"
1229460,"Lakeland-Winter Haven, FL"
1233100,"Miami-Fort Lauderdale-West Palm Beach, FL"
1234940,"Naples-Immokalee-Marco Island, FL"
1235840,"North Port-Sarasota-Bradenton, FL"
1236100,"Ocala, FL"
1236380,"Okeechobee, FL"
1236740,"Orlando-Kissimmee-Sanford, FL"
1237260,"Palatka, FL"
1237340,"Palm Bay-Melbourne-Titusville, FL"
1237460,"Panama City, FL"
1237860,"Pensacola-Ferry Pass-Brent, FL"
1238940,"Port St. Lucie, FL"
1239460,"Punta Gorda, FL"
1242680,"Sebastian-Vero Beach, FL"
1242700,"Sebring, FL"
1245220,"Tallahassee, FL"
1245300,"Tampa-St. Petersburg-Clearwater, FL"
1245540,"The Villages, FL"
1248100,"Wauchula, FL"
1299999,"Nonmetropolitan, nonmicropolitan"
