geography,label
39,"Ohio"
39000001,"Cincinnati USA Partnership (SW Ohio)"
39000002,"Team Neo (NE Ohio)"
39000003,"Columbus 2020! (Central Ohio)"
39000004,"Dayton Development Coalition (West Ohio)"
39000005,"Appalachian Business Council (SE Ohio)"
39000006,"Regional Growth Partnership (NW Ohio)"
39001,"Adams, OH"
39003,"Allen, OH"
39005,"Ashland, OH"
39007,"Ashtabula, OH"
39009,"Athens, OH"
39011,"Auglaize, OH"
39013,"Belmont, OH"
39015,"Brown, OH"
39017,"Butler, OH"
39019,"Carroll, OH"
39021,"Champaign, OH"
39023,"Clark, OH"
39025,"Clermont, OH"
39027,"Clinton, OH"
39029,"Columbiana, OH"
39031,"Coshocton, OH"
39033,"Crawford, OH"
39035,"Cuyahoga, OH"
39037,"Darke, OH"
39039,"Defiance, OH"
39041,"Delaware, OH"
39043,"Erie, OH"
39045,"Fairfield, OH"
39047,"Fayette, OH"
39049,"Franklin, OH"
39051,"Fulton, OH"
39053,"Gallia, OH"
39055,"Geauga, OH"
39057,"Greene, OH"
39059,"Guernsey, OH"
39061,"Hamilton, OH"
39063,"Hancock, OH"
39065,"Hardin, OH"
39067,"Harrison, OH"
39069,"Henry, OH"
39071,"Highland, OH"
39073,"Hocking, OH"
39075,"Holmes, OH"
39077,"Huron, OH"
39079,"Jackson, OH"
39081,"Jefferson, OH"
39083,"Knox, OH"
39085,"Lake, OH"
39087,"Lawrence, OH"
39089,"Licking, OH"
39091,"Logan, OH"
39093,"Lorain, OH"
39095,"Lucas, OH"
39097,"Madison, OH"
39099,"Mahoning, OH"
39101,"Marion, OH"
39103,"Medina, OH"
3910420,"Akron, OH"
39105,"Meigs, OH"
39107,"Mercer, OH"
39109,"Miami, OH"
39111,"Monroe, OH"
39113,"Montgomery, OH"
39115,"Morgan, OH"
39117,"Morrow, OH"
3911740,"Ashland, OH"
3911780,"Ashtabula, OH"
39119,"Muskingum, OH"
3911900,"Athens, OH"
39121,"Noble, OH"
39123,"Ottawa, OH"
39125,"Paulding, OH"
39127,"Perry, OH"
39129,"Pickaway, OH"
39131,"Pike, OH"
39133,"Portage, OH"
3913340,"Bellefontaine, OH"
39135,"Preble, OH"
39137,"Putnam, OH"
39139,"Richland, OH"
39141,"Ross, OH"
39143,"Sandusky, OH"
39145,"Scioto, OH"
39147,"Seneca, OH"
39149,"Shelby, OH"
39151,"Stark, OH"
39153,"Summit, OH"
3915340,"Bucyrus, OH"
39155,"Trumbull, OH"
39157,"Tuscarawas, OH"
3915740,"Cambridge, OH"
39159,"Union, OH"
3915940,"Canton-Massillon, OH"
39161,"Van Wert, OH"
39163,"Vinton, OH"
3916380,"Celina, OH"
39165,"Warren, OH"
39167,"Washington, OH"
39169,"Wayne, OH"
3917060,"Chillicothe, OH"
39171,"Williams, OH"
3917140,"Cincinnati-Middletown, OH-KY-IN (OH part)"
39173,"Wood, OH"
3917460,"Cleveland-Elyria-Mentor, OH"
39175,"Wyandot, OH"
3918140,"Columbus, OH"
3918740,"Coshocton, OH"
3919380,"Dayton, OH"
3919580,"Defiance, OH"
3920620,"East Liverpool-Salem, OH"
3922300,"Findlay, OH"
3923380,"Fremont, OH"
3924820,"Greenville, OH"
3926580,"Huntington-Ashland, WV-KY-OH (OH part)"
3930620,"Lima, OH"
3931900,"Mansfield, OH"
3932020,"Marion, OH"
3934540,"Mount Vernon, OH"
3935420,"New Philadelphia-Dover, OH"
3935940,"Norwalk, OH"
3937620,"Parkersburg-Marietta-Vienna, WV-OH (OH part)"
3938580,"Point Pleasant, WV-OH (OH part)"
3939020,"Portsmouth, OH"
3941780,"Sandusky, OH"
3943380,"Sidney, OH"
3944220,"Springfield, OH"
3944600,"Steubenville-Weirton, OH-WV (OH part)"
3945660,"Tiffin, OH"
3945780,"Toledo, OH"
3946500,"Urbana, OH"
3946780,"Van Wert, OH"
3947540,"Wapakoneta, OH"
3947920,"Washington Court House, OH"
3948540,"Wheeling, WV-OH (OH part)"
3948940,"Wilmington, OH"
3949300,"Wooster, OH"
3949660,"Youngstown-Warren-Boardman, OH-PA (OH part)"
3949780,"Zanesville, OH"
3999999,"Nonmetropolitan, nonmicropolitan"
