geography,label
40,"Oklahoma"
40000001,"01 Northwest WIA"
40000002,"02 North Central WIA"
40000003,"03 Tulsa WIA"
40000004,"04 Northeast WIA"
40000005,"05 Southwest WIA"
40000006,"06 South Central WIA"
40000007,"07 Southern WIA"
40000008,"08 Southeast WIA"
40000009,"09 Central WIA"
40000010,"10 East Central WIA"
40000011,"11 Cleveland WIA"
40000012,"12 Eastern WIA"
40001,"Adair, OK"
40003,"Alfalfa, OK"
40005,"Atoka, OK"
40007,"Beaver, OK"
40009,"Beckham, OK"
40011,"Blaine, OK"
40013,"Bryan, OK"
40015,"Caddo, OK"
40017,"Canadian, OK"
40019,"Carter, OK"
40021,"Cherokee, OK"
40023,"Choctaw, OK"
40025,"Cimarron, OK"
40027,"Cleveland, OK"
40029,"Coal, OK"
40031,"Comanche, OK"
40033,"Cotton, OK"
40035,"Craig, OK"
40037,"Creek, OK"
40039,"Custer, OK"
40041,"Delaware, OK"
40043,"Dewey, OK"
40045,"Ellis, OK"
40047,"Garfield, OK"
40049,"Garvin, OK"
40051,"Grady, OK"
40053,"Grant, OK"
40055,"Greer, OK"
40057,"Harmon, OK"
40059,"Harper, OK"
40061,"Haskell, OK"
40063,"Hughes, OK"
40065,"Jackson, OK"
40067,"Jefferson, OK"
40069,"Johnston, OK"
40071,"Kay, OK"
40073,"Kingfisher, OK"
40075,"Kiowa, OK"
40077,"Latimer, OK"
40079,"Le Flore, OK"
40081,"Lincoln, OK"
40083,"Logan, OK"
40085,"Love, OK"
40087,"McClain, OK"
40089,"McCurtain, OK"
40091,"McIntosh, OK"
40093,"Major, OK"
40095,"Marshall, OK"
40097,"Mayes, OK"
40099,"Murray, OK"
40101,"Muskogee, OK"
4010220,"Ada, OK"
40103,"Noble, OK"
40105,"Nowata, OK"
40107,"Okfuskee, OK"
40109,"Oklahoma, OK"
4011060,"Altus, OK"
40111,"Okmulgee, OK"
40113,"Osage, OK"
40115,"Ottawa, OK"
4011620,"Ardmore, OK"
40117,"Pawnee, OK"
40119,"Payne, OK"
40121,"Pittsburg, OK"
40123,"Pontotoc, OK"
40125,"Pottawatomie, OK"
40127,"Pushmataha, OK"
4012780,"Bartlesville, OK"
40129,"Roger Mills, OK"
40131,"Rogers, OK"
40133,"Seminole, OK"
40135,"Sequoyah, OK"
40137,"Stephens, OK"
40139,"Texas, OK"
40141,"Tillman, OK"
40143,"Tulsa, OK"
40145,"Wagoner, OK"
40147,"Washington, OK"
40149,"Washita, OK"
40151,"Woods, OK"
40153,"Woodward, OK"
4020340,"Duncan, OK"
4020460,"Durant, OK"
4021120,"Elk City, OK"
4021420,"Enid, OK"
4022900,"Fort Smith, AR-OK (OK part)"
4025100,"Guymon, OK"
4030020,"Lawton, OK"
4032540,"McAlester, OK"
4033060,"Miami, OK"
4034780,"Muskogee, OK"
4036420,"Oklahoma City, OK"
4038620,"Ponca City, OK"
4043060,"Shawnee, OK"
4044660,"Stillwater, OK"
4045140,"Tahlequah, OK"
4046140,"Tulsa, OK"
4048220,"Weatherford, OK"
4049260,"Woodward, OK"
4099999,"Nonmetropolitan, nonmicropolitan"
