geography,label
24,"Maryland"
24001,"Allegany, MD"
24001001,"01 Anne Arundel WIA"
24001002,"02 Baltimore County WIA"
24001003,"03 Baltimore City WIA"
24001004,"04 Frederick WIA"
24001005,"05 Lower Shore WIA"
24001006,"06 MID-Maryland WIA"
24001007,"07 Montgomery WIA"
24001008,"08 Prince Georges WIA"
24001009,"09 Southern Maryland WIA"
24001010,"10 Susquehanna WIA"
24001011,"11 Upper Shore WIA"
24001012,"12 Western Maryland WIA"
24003,"Anne Arundel, MD"
24005,"Baltimore, MD"
24009,"Calvert, MD"
24011,"Caroline, MD"
24013,"Carroll, MD"
24015,"Cecil, MD"
24017,"Charles, MD"
24019,"Dorchester, MD"
24021,"Frederick, MD"
24023,"Garrett, MD"
24025,"Harford, MD"
24027,"Howard, MD"
24029,"Kent, MD"
24031,"Montgomery, MD"
24033,"Prince Georges, MD"
24035,"Queen Annes, MD"
24037,"St. Marys, MD"
24039,"Somerset, MD"
24041,"Talbot, MD"
24043,"Washington, MD"
24045,"Wicomico, MD"
24047,"Worcester, MD"
2412580,"Baltimore-Towson, MD"
2415700,"Cambridge, MD"
2419060,"Cumberland, MD-WV (MD part)"
2420660,"Easton, MD"
2425180,"Hagerstown-Martinsburg, MD-WV (MD part)"
2430500,"Lexington Park, MD"
2436180,"Ocean Pines, MD"
2437980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MD part)"
2441540,"Salisbury, MD"
2447900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (MD part)"
24510,"Baltimore, MD"
2499999,"Nonmetropolitan, nonmicropolitan"
