geography,label
27,"Minnesota"
27001,"Aitkin, MN"
27003,"Anoka, MN"
27005,"Becker, MN"
27007,"Beltrami, MN"
27009,"Benton, MN"
27011,"Big Stone, MN"
27013,"Blue Earth, MN"
27015,"Brown, MN"
27017,"Carlton, MN"
27019,"Carver, MN"
27021,"Cass, MN"
27023,"Chippewa, MN"
27025,"Chisago, MN"
27027,"Clay, MN"
27029,"Clearwater, MN"
27031,"Cook, MN"
27033,"Cottonwood, MN"
27035,"Crow Wing, MN"
27037,"Dakota, MN"
27039,"Dodge, MN"
27041,"Douglas, MN"
27043,"Faribault, MN"
27045,"Fillmore, MN"
27047,"Freeborn, MN"
27049,"Goodhue, MN"
27051,"Grant, MN"
27053,"Hennepin, MN"
27055,"Houston, MN"
27057,"Hubbard, MN"
27059,"Isanti, MN"
27061,"Itasca, MN"
27063,"Jackson, MN"
27065,"Kanabec, MN"
27067,"Kandiyohi, MN"
27069,"Kittson, MN"
27071,"Koochiching, MN"
27073,"Lac qui Parle, MN"
27075,"Lake, MN"
27077,"Lake of the Woods, MN"
27079,"Le Sueur, MN"
27081,"Lincoln, MN"
27083,"Lyon, MN"
27085,"McLeod, MN"
27087,"Mahnomen, MN"
27089,"Marshall, MN"
27091,"Martin, MN"
27093,"Meeker, MN"
27095,"Mille Lacs, MN"
27097,"Morrison, MN"
27099,"Mower, MN"
27101,"Murray, MN"
27103,"Nicollet, MN"
27105,"Nobles, MN"
2710660,"Albert Lea, MN"
27107,"Norman, MN"
2710820,"Alexandria, MN"
27109,"Olmsted, MN"
27111,"Otter Tail, MN"
27113,"Pennington, MN"
27115,"Pine, MN"
27117,"Pipestone, MN"
27119,"Polk, MN"
27121,"Pope, MN"
27123,"Ramsey, MN"
2712380,"Austin, MN"
27125,"Red Lake, MN"
27127,"Redwood, MN"
27129,"Renville, MN"
27131,"Rice, MN"
27133,"Rock, MN"
2713420,"Bemidji, MN"
27135,"Roseau, MN"
27137,"St. Louis, MN"
27139,"Scott, MN"
27141,"Sherburne, MN"
27143,"Sibley, MN"
27145,"Stearns, MN"
2714660,"Brainerd, MN"
27147,"Steele, MN"
27149,"Stevens, MN"
27151,"Swift, MN"
27153,"Todd, MN"
27155,"Traverse, MN"
27157,"Wabasha, MN"
27159,"Wadena, MN"
27161,"Waseca, MN"
27163,"Washington, MN"
27165,"Watonwan, MN"
27167,"Wilkin, MN"
27169,"Winona, MN"
27171,"Wright, MN"
27173,"Yellow Medicine, MN"
2720260,"Duluth, MN-WI (MN part)"
2722020,"Fargo, ND-MN (MN part)"
2722060,"Faribault-Northfield, MN"
2722260,"Fergus Falls, MN"
2724220,"Grand Forks, ND-MN (MN part)"
2726780,"Hutchinson, MN"
2729100,"La Crosse-Onalaska, WI-MN (MN part)"
2731860,"Mankato-North Mankato, MN"
2732140,"Marshall, MN"
2733460,"Minneapolis-St. Paul-Bloomington, MN-WI (MN part)"
2735580,"New Ulm, MN"
2736940,"Owatonna, MN"
2739860,"Red Wing, MN"
2740340,"Rochester, MN"
2741060,"St. Cloud, MN"
2747420,"Wahpeton, ND-MN (MN part)"
2748820,"Willmar, MN"
2749100,"Winona, MN"
2749380,"Worthington, MN"
2799999,"Nonmetropolitan, nonmicropolitan"
27SDA010,"01 Northwest Minnesota WSA"
27SDA020,"02 Rural Minnesota CEP WSA"
27SDA030,"03 Northeast Minnesota WSA"
27SDA040,"04 City of Duluth WSA"
27SDA050,"05 Central Minnesota WSA"
27SDA060,"06 Southwest Minnesota WSA"
27SDA070,"07 South Central Minnesota WSA"
27SDA080,"08 Southeast Minnesota WSA"
27SDA090,"09 Hennepin/Carver WSA"
27SDA100,"10 City of Minneapolis WSA"
27SDA120,"12 Anoka County WSA"
27SDA140,"14 Dakota/Scott County WSA"
27SDA150,"15 Ramsey County WSA"
27SDA160,"16 Washington County WSA"
27SDA170,"17 Stearns/Benton WSA"
27SDA180,"18 Winona County WSA"
