geography,label
33,"New Hampshire"
33001,"Belknap, NH"
33003,"Carroll, NH"
33005,"Cheshire, NH"
33007,"Coos, NH"
33009,"Grafton, NH"
33011,"Hillsborough, NH"
33013,"Merrimack, NH"
33015,"Rockingham, NH"
33017,"Strafford, NH"
33019,"Sullivan, NH"
3313620,"Berlin, NH-VT (NH part)"
3314460,"Boston-Cambridge-Newton, MA-NH (NH part)"
3317200,"Claremont-Lebanon, NH-VT (NH part)"
3318180,"Concord, NH"
3328300,"Keene, NH"
3329060,"Laconia, NH"
3331700,"Manchester-Nashua, NH"
33330014,"Berlin One-Stop Service Area"
33330034,"Claremont One-Stop Service Area"
33330054,"Concord One-Stop Service Area"
33330074,"Conway One-Stop Service Area"
33330114,"Somersworth One-Stop Service Area"
33330294,"Keene One-Stop Service Area"
33330314,"Laconia One-Stop Service Area"
33330354,"Lebanon One-Stop Service Area"
33330374,"Littleton One-Stop Service Area"
33330394,"Manchester One-Stop Service Area"
33330434,"Nashua One-Stop Service Area"
33330534,"Portsmouth One-Stop Service Area"
33330574,"Salem One-Stop Service Area"
3399999,"Nonmetropolitan, nonmicropolitan"
